左x,左y,右x,右y,右x-左x,右y-左y
182,123,25,16,-157,-107
182,123,26,16,-156,-107
155,122,0,17,-155,-105
155,122,1,17,-154,-105
155,122,2,17,-153,-105
157,121,3,17,-154,-104
158,122,4,17,-154,-105
159,122,5,17,-154,-105
161,121,6,17,-155,-104
163,121,7,17,-156,-104
164,122,8,17,-156,-105
165,123,9,17,-156,-106
167,124,10,17,-157,-107
169,123,11,17,-158,-106
169,123,12,17,-157,-106
170,124,13,17,-157,-107
170,124,14,17,-156,-107
170,124,15,17,-155,-107
171,124,16,17,-155,-107
173,124,17,17,-156,-107
174,124,18,17,-156,-107
174,124,19,17,-155,-107
176,124,20,17,-156,-107
178,124,21,17,-157,-107
180,124,22,17,-158,-107
181,124,23,17,-158,-107
182,124,24,17,-158,-107
182,124,25,17,-157,-107
182,124,26,17,-156,-107
154,123,0,18,-154,-105
154,123,1,18,-153,-105
155,122,2,18,-153,-104
157,123,3,18,-154,-105
158,122,4,18,-154,-104
159,122,5,18,-154,-104
160,122,6,18,-154,-104
162,122,7,18,-155,-104
164,123,8,18,-156,-105
166,124,9,18,-157,-106
168,125,10,18,-158,-107
170,125,11,18,-159,-107
170,125,12,18,-158,-107
170,125,13,18,-157,-107
170,125,14,18,-156,-107
170,125,15,18,-155,-107
170,125,16,18,-154,-107
172,125,17,18,-155,-107
173,126,18,18,-155,-108
175,125,19,18,-156,-107
177,125,20,18,-157,-107
179,125,21,18,-158,-107
181,125,22,18,-159,-107
182,125,23,18,-159,-107
182,125,24,18,-158,-107
183,125,25,18,-158,-107
183,125,26,18,-157,-107
154,125,0,19,-154,-106
154,125,1,19,-153,-106
156,124,2,19,-154,-105
157,123,3,19,-154,-104
158,122,4,19,-154,-103
159,122,5,19,-154,-103
160,122,6,19,-154,-103
162,123,7,19,-155,-104
163,124,8,19,-155,-105
165,125,9,19,-156,-106
167,126,10,19,-157,-107
169,126,11,19,-158,-107
170,126,12,19,-158,-107
170,126,13,19,-157,-107
170,126,14,19,-156,-107
170,126,15,19,-155,-107
171,126,16,19,-155,-107
171,126,17,19,-154,-107
173,126,18,19,-155,-107
174,126,19,19,-155,-107
176,126,20,19,-156,-107
178,126,21,19,-157,-107
180,126,22,19,-158,-107
182,126,23,19,-159,-107
183,126,24,19,-159,-107
184,126,25,19,-159,-107
184,126,26,19,-158,-107
155,126,0,20,-155,-106
155,126,1,20,-154,-106
155,126,2,20,-153,-106
156,125,3,20,-153,-105
158,124,4,20,-154,-104
159,123,5,20,-154,-103
160,122,6,20,-154,-102
162,123,7,20,-155,-103
163,124,8,20,-155,-104
165,125,9,20,-156,-105
167,126,10,20,-157,-106
169,127,11,20,-158,-107
170,127,12,20,-158,-107
170,127,13,20,-157,-107
170,127,14,20,-156,-107
170,127,15,20,-155,-107
171,127,16,20,-155,-107
172,127,17,20,-155,-107
174,127,18,20,-156,-107
174,127,19,20,-155,-107
176,127,20,20,-156,-107
178,127,21,20,-157,-107
180,127,22,20,-158,-107
182,126,23,20,-159,-106
183,126,24,20,-159,-106
184,126,25,20,-159,-106
184,126,26,20,-158,-106
156,128,0,21,-156,-107
156,128,1,21,-155,-107
156,128,2,21,-154,-107
157,127,3,21,-154,-106
159,126,4,21,-155,-105
160,125,5,21,-155,-104
161,124,6,21,-155,-103
162,124,7,21,-155,-103
163,125,8,21,-155,-104
165,126,9,21,-156,-105
166,127,10,21,-156,-106
168,128,11,21,-157,-107
169,128,12,21,-157,-107
170,127,13,21,-157,-106
170,127,14,21,-156,-106
170,127,15,21,-155,-106
172,128,16,21,-156,-107
173,128,17,21,-156,-107
174,127,18,21,-156,-106
175,128,19,21,-156,-107
177,128,20,21,-157,-107
179,128,21,21,-158,-107
181,128,22,21,-159,-107
183,127,23,21,-160,-106
184,127,24,21,-160,-106
185,127,25,21,-160,-106
185,127,26,21,-159,-106
156,128,0,22,-156,-106
156,128,1,22,-155,-106
156,128,2,22,-154,-106
157,128,3,22,-154,-106
159,127,4,22,-155,-105
160,127,5,22,-155,-105
161,126,6,22,-155,-104
162,126,7,22,-155,-104
164,126,8,22,-156,-104
166,127,9,22,-157,-105
167,128,10,22,-157,-106
168,128,11,22,-157,-106
169,129,12,22,-157,-107
169,129,13,22,-156,-107
170,128,14,22,-156,-106
171,128,15,22,-156,-106
172,128,16,22,-156,-106
174,129,17,22,-157,-107
175,129,18,22,-157,-107
176,129,19,22,-157,-107
178,129,20,22,-158,-107
180,129,21,22,-159,-107
181,128,22,22,-159,-106
183,128,23,22,-160,-106
185,128,24,22,-161,-106
186,128,25,22,-161,-106
186,128,26,22,-160,-106
